,Credibility Indicator Category,Question Number,Answer Number,Point Recommendation,Credibility Indicator Name,Start,End
76,Evidence,2.0,1.0,0.0,Quality of evidence,3375,3384
76,Evidence,2.0,1.0,0.0,Quality of evidence,3375,3528
89,Evidence,4.0,5.0,-4.0,Sample representativeness,0,0
99,Evidence,8.0,1.0,-4.0,Alternative explanation,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
79,Evidence,2.0,4.0,0.0,Quality of evidence,3197,3307
79,Evidence,2.0,4.0,0.0,Quality of evidence,3318,3528
82,Evidence,2.0,7.0,0.0,Quality of evidence,3129,3195
82,Evidence,2.0,7.0,0.0,Quality of evidence,3583,3702
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
111,Evidence,11.0,3.0,-1.0,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
84,Evidence,2.0,9.0,0.0,Quality of evidence,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
82,Evidence,2.0,7.0,0.0,Quality of evidence,3129,3316
103,Evidence,8.0,5.0,0.0,Alternative explanation,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
170,Holistic,8.0,4.0,-1.0,Minor Bias,0,0
63,Reasoning,6.0,3.0,-4.0,Straw Man Argument,6257,6407
72,Reasoning,7.0,3.0,-3.0,Misleading argument,0,0
48,Reasoning,2.0,6.0,0.0,,0,0
79,Evidence,2.0,4.0,0.0,Quality of evidence,3764,4041
80,Evidence,2.0,5.0,0.0,Quality of evidence,4511,5011
80,Evidence,2.0,5.0,0.0,Quality of evidence,4043,4345
82,Evidence,2.0,7.0,0.0,Quality of evidence,4407,4509
87,Evidence,4.0,3.0,-1.0,Sample representativeness,0,0
94,Evidence,5.0,4.0,-2.0,Control condition,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
111,Evidence,11.0,3.0,-1.0,Systematic uncertainty,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
79,Evidence,2.0,4.0,0.0,Quality of evidence,3911,4041
82,Evidence,2.0,7.0,0.0,Quality of evidence,4511,5011
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
107,Evidence,10.0,4.0,-0.5,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
116,Evidence,12.0,3.0,0.0,Open to evidence,0,0
80,Evidence,2.0,5.0,0.0,Quality of evidence,4043,4345
90,Evidence,4.0,6.0,-2.0,Sample representativeness,0,0
95,Evidence,5.0,5.0,-3.0,Control condition,0,0
102,Evidence,8.0,4.0,-1.0,Alternative explanation,0,0
108,Evidence,10.0,5.0,0.0,Statistical uncertainty,0,0
112,Evidence,11.0,4.0,-0.5,Systematic uncertainty,0,0
117,Evidence,12.0,4.0,0.0,Open to evidence,0,0
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,343,348
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,6478,6486
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,6478,6486
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,343,348
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,711,719
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,343,348
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,698,724
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,6478,6486
149,Probability,12.0,3.0,1.0,Open to evidence,331,387
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,2536,2584
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,2740,2792
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
130,Probability,7.0,2.0,-2.0,Numeric context,1682,1738
130,Probability,7.0,2.0,-2.0,Numeric context,1896,1906
130,Probability,7.0,2.0,-2.0,Numeric context,2004,2024
130,Probability,7.0,2.0,-2.0,Numeric context,2340,2347
145,Probability,10.0,2.0,-1.0,False precision,1682,1738
145,Probability,10.0,2.0,-1.0,False precision,1896,1906
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,2238,2272
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,5467,5492
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,5633,5639
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,5755,5768
151,Probability,12.0,5.0,0.0,Open to evidence,0,0
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,5401,5406
127,Probability,5.0,2.0,0.5,Acknowledges uncertainty,5467,5492
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,5401,5406
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,5467,5492
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,5606,5639
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,5755,5789
149,Probability,12.0,3.0,1.0,Open to evidence,5467,5492
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
133,Probability,7.0,5.0,0.0,Numeric context,4806,4815
133,Probability,7.0,5.0,0.0,Numeric context,4758,4815
146,Probability,10.0,3.0,0.0,False precision,0,0
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
133,Probability,7.0,5.0,0.0,Numeric context,4819,4995
146,Probability,10.0,3.0,0.0,False precision,0,0
128,Probability,5.0,3.0,-2.0,Doesn‰Ûªt acknowledge uncertainty,0,0
118,Probability,2.0,1.0,0.0,Inappropriate confidence,0,0
126,Probability,5.0,1.0,1.0,Acknowledges uncertainty,4511,4582
130,Probability,7.0,2.0,-2.0,Numeric context,4819,4829
